nome_organizacao,descricao_organizacao,categoria_organizacao,fase_investimento_busca_x,incentivos_fiscais_municipio_x,orgao_responsavel_cti_x,tipo_organizacao_x,contato_divulgacao_cientifica_x,possui_nit_x,areas_expertise_x,tese_investimento_x,num_startups_investidas_x,segmento_atuacao,programas_desenvolvimento_x,tecnologias_disruptivas,segmentacao_clientes_x,fase_negocio,fase_investimento_captada_x,preferencia_segmento_x,beneficios_programa_x,investimento_medio_startup_x,exige_equity_x,papel_no_ecossistema,cadastro_aprovado,autorizacao_divulgacao,cidade_sede,uf_sede,logo_url,site_organizacao,email_contato,fase_investimento_busca_y,incentivos_fiscais_municipio_y,orgao_responsavel_cti_y,tipo_organizacao_y,contato_divulgacao_cientifica_y,possui_nit_y,areas_expertise_y,tese_investimento_y,num_startups_investidas_y,programas_desenvolvimento_y,modelo_negocio,segmentacao_clientes_y,numero_funcionarios,fase_investimento_captada_y,busca_investimento,linkedin_url,preferencia_segmento_y,beneficios_programa_y,investimento_medio_startup_y,exige_equity_y
SPDX ADMINISTRADORA DE FUNDOS DE FORMATURA LTDA,"SPDX tem por objeto a administração da arrecadação de mensalidades e pagamentos das despesas de fundos de formatura, realização de cobranças e informações cadastrais.",Demais Organizações,,,,,,,,,,EPP,Desenvolvimento de atividades de administração de fundos por contrato ou comissão,,,,,,,,,Demais Organizações,Sim,Sim, ,"Filial situada a Rua Monteiro Lobato, n° 25, bairro São Pedro, CEP 36.036-320 – Juiz de Fora/MG",https://i.postimg.cc/fyK8fdnJ/spdx.png,https://mundovivaextranet.vivaeventos.com.br,marcelo@gviva.com.br, , , , , , , , , ,Desenvolvimento de atividades de administração de fundos por contrato ou comissão,,,,,Não,,,,, 
REAGER AGROINDUSTRIA LTDA,"A partir de passivos ambientais, principalmente resíduos da produção animal e indústrias de alimentos, a Reager tem como principal produto um fertilizante rico em fósforo, com concentração de 15%, atrelado à matéria orgânica estabilizada, sendo a produção do ano de 2022 em 5.000 toneladas e produção de 2023 em 3.000 toneladas, sem nenhuma adição de fertilizante mineral.",Demais Organizações,,,,,,,,,,Serviços e Produtos,"A Reager é uma empresa do grupo Regera & Co. 
O grupo Regera & Co se destaca como referência ao consolidar tecnologias e soluções em plantas de biogás. Destacam-se: a primeira planta de minigeração híbrida de GD (biogás e solar) do país, implementada em 2014, além da primeira planta de biometano do estado de Minas Gerais que iniciou sua operação em 2018, e, a primeira unidade nacional de geração de energia a partir de substrato de dejeto de carneiros, dentre outros.
A Regera Energia, também pertencente ao grupo Regera & Co, recentemente teve um projeto aprovado com a FINEP, quando ainda era Auma Energia, para desenvolvimento de um sistema de biodigestão inovador. ",,,,,,,,,Demais Organizações,Sim,Sim,Patos de Minas,MG,https://i.postimg.cc/3JfXGrdm/reager-marca-positiva-rj-01.png,https://aumaenergia.com.br/,projetos@aumaenergia.com.br, , , , , , , , , ,"A Reager é uma empresa do grupo Regera & Co. 
O grupo Regera & Co se destaca como referência ao consolidar tecnologias e soluções em plantas de biogás. Destacam-se: a primeira planta de minigeração híbrida de GD (biogás e solar) do país, implementada em 2014, além da primeira planta de biometano do estado de Minas Gerais que iniciou sua operação em 2018, e, a primeira unidade nacional de geração de energia a partir de substrato de dejeto de carneiros, dentre outros.
A Regera Energia, também pertencente ao grupo Regera & Co, recentemente teve um projeto aprovado com a FINEP, quando ainda era Auma Energia, para desenvolvimento de um sistema de biodigestão inovador. ",,,,,Não,,,,, 
STANDARD STONES PEDRAS,Empresa de Mineração,Demais Organizações,,,,,,,,,,Mineração Pequeno Porte,FAPEMIG,,,,,,,,,Demais Organizações,Sim,Sim,São Thomé das Letras,MG,https://i.postimg.cc/y6ZRg129/Standard-Stones.png,https://exemplo.com,brunofarahmaciel@yahoo.com.br, , , , , , , , , ,FAPEMIG,,,,,Não,,,,, 
Piscicultura Igarape,"A Piscicultura Igarapé está a mais de 40 anos vem contribuindo no cenário aquícola  sempre levando informações para os diferentes perfis de produtores.
Atualmente, fornecemos diversos produtos e serviços direcionados a área de piscicultura como Consultorias, Projetos, alevinos e ração, equipamentos etc.

",Demais Organizações,,,,,,,,,,Micro e Pequena Empresa,Atualmente nenhuma iniciativa ou programa,,,,,,,,,Demais Organizações,Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/sX0pJGr5/logo-colorida.png,https://pisciculturaigarape.com.br/,msd2702@gmail.com, , , , , , , , , ,Atualmente nenhuma iniciativa ou programa,,,,,Não,,,,, 
VIRIDIS MINERACAO LTDA,"A VIRIDIS MINERACAO LTDA (Viridis), é subsidiária da Viridis Mining and Minerals Limited, companhia australiana listada na bolsa ASX (ASX:VMM) do mesmo país. A companhia tem como foco a prospecção consciente de ETRs em argila iônica, muito importante para o desenvolvimento de tecnologias sustentáveis.
A Viridis iniciou a prospecção de argilas de adsorção iônica em agosto de 2023 em um projeto com potencial de ser um dos maiores do mundo. As reservas estão localizadas na região de Poços de Caldas compondo um total de 228.62 km2 de licenças de exploração mineral e os resultados têm sido promissores, entrando assim na etapa de estudos socioambientais, principalmente ligados aos rejeitos.
",Demais Organizações,,,,,,,,,,Mineração,"Desenvolvimento de formas sustentáveis para mineração de terras raras, importante para o desenvolvimento da industria de tecnologias sustentáveis.",,,,,,,,,Demais Organizações,Sim,Sim,Poços de Caldas,MG,https://i.postimg.cc/XNCBHMSj/Whats-App-Image-2024-04-17-at-11-24-22.jpg,https://viridismining.com.au/,jessica@viridismining.com.au, , , , , , , , , ,"Desenvolvimento de formas sustentáveis para mineração de terras raras, importante para o desenvolvimento da industria de tecnologias sustentáveis.",,,,,Não,,,,, 
Vale,Empresa de mineração de Ferro.,Demais Organizações,,,,,,,,,,Empresa de Mineração,FAPEMIG,,,,,,,,,Demais Organizações,Sim,Sim,Nova Lima,MG,https://i.postimg.cc/h4xq86bc/logo-Vale.png,https://vale.com/pt/,brunofarahmaciel@yahoo.com.br, , , , , , , , , ,FAPEMIG,,,,,Não,,,,, 
Biominas Green Solutions,"A Biominas Green Solutions é uma empresa de consultoria em ESG, que tem como objetivo principal, auxiliar corporações a implementarem as estratégias ambientais, sociais e de governança em seus negócios. Atualmente, trabalhamos com empresas dos setores de mineração, agronegócio, transporte e logística e tecnologia. Procuramos sempre impactar positivamente a sociedade, trabalhando as questões ambientais e fortalecendo e aprimorando suas estratégias de governança.",Demais Organizações,,,,,,,,,,Empresa,"Consultoria, Treinamentos, Iniciando o desenvolvimento de tecnologias",,,,,,,,,Demais Organizações,Sim,Sim,Lavras,MG,https://i.postimg.cc/FsFc9MKQ/Biominas-green-story.jpg,https://www.biominasgreensolutions.com.br/,teixeira.ks@gmail.com, , , , , , , , , ,"Consultoria, Treinamentos, Iniciando o desenvolvimento de tecnologias",,,,,Não,,,,, 
GRS SOLUÇÕES SUSTENTÁVEIS,"A GRS – Soluções Sustentáveis, atua no mercado de gestão de resíduos há mais de 10 anos, possui aproximadamente 280 contratos na Zona da Mata Mineira. Adquiriu uma larga experiência pratica nos processos de gestão de resíduos e sua equipe se especializou em gestão de Resíduos Urbanos e economia circular. Há 6 anos vem desenvolvendo projetos inovadores, onde visa fazer a gestão dos resíduos através da logística reversa, desenvolvendo processos sustentáveis, utilizando a ideologia do Tripé do Tri-Botton: a economia, o meio ambiente e a sociedade. Onde todos os pilares serão beneficiados com a implantação do projeto. Sendo economicamente viável, ambientalmente sustentável e que atenda os anseios da população, proporcionando melhorias à sociedade local. 
 Em 2023 participamos do processo de Pré-Incubação no Centro Tecnológico de Viçosa, CENTEV, onde entre 10 empresas nosso projeto ficou em 2º lugar. Em 2024, a GRS foi Incubada, passando a participar do Programa de Incubação do tecnoPARQ - Centev. 
Nesta proposta o projeto da GRS, traz uma solução para a Gestão de Resíduos dos Municípios de Minas Gerais, através da transformação de resíduos em produtos e subprodutos, por exemplo a produção de Biochar a partir de resíduos orgânicos utilizando o processo de pirólise. 
",Demais Organizações,,,,,,,,,,Parque tecnológico,A GRS participa do Programa de Incubação de Empresas do tecnoPARQ/CENTEV-UFV,,,,,,,,,Demais Organizações,Sim,Sim,Viçosa,MG,https://i.postimg.cc/QVGGGzyL/GRS-MARCA-VERDE-400-150.png,https://grssolucoessustentaveis.com,grssolucoessustentaveis@gmail.com, , , , , , , , , ,A GRS participa do Programa de Incubação de Empresas do tecnoPARQ/CENTEV-UFV,,,,,Não,,,,, 
Cine 14 Bis,"Construção de sede própria para abrigar um complexo de cinema com 03 (três) salas de exibição com projetores a laser e um espaço gastronômico. O objetivo é ampliar a oferta de filmes e horários de sessões para a população regional. Oferecer um centro de entretenimento, de cultura, gastronômico e de desenvolvimento social.",Demais Organizações,,,,,,,,,,Exibição cinematográfica,"Programa de acesso à cultura através de exibições audiovisuais em salas de cinema, proporcionando desenvolvimento cultural e social à comunidade do entorno.",,,,,,,,,Demais Organizações,Sim,Sim,Guaxupé,MG,https://i.postimg.cc/pVsKK2cP/Logocomfaceesite2020.jpg,https://www.cine14bis.com.br,cine14bis@gmail.com, , , , , , , , , ,"Programa de acesso à cultura através de exibições audiovisuais em salas de cinema, proporcionando desenvolvimento cultural e social à comunidade do entorno.",,,,,Não,,,,, 
CADAP LTDA,"A CADAP deseja desenvolver produto tecnológico em benefício do turismo municipal, apoiado por técnicas computacionais, em especial de Inteligência Artificial, para otimizar de maneira inovadora os processos da empresa a fim de reduzir operações manuais por meio de acessos e produção automatizados, bem como do uso de papéis, objetivando a sustentabilidade ambiental. Assim, desenvolvendo sistema de catraca com reconhecimento facial integrado a um sistema gerenciador; sistema de cancela de entrada de veículos por reconhecimento de placa integrado a um sistema gerenciador; sistema integrado de hardware e software capaz de gerenciar acessos físicos e comportamentos dos usuários através do uso de aplicativos, entre outros.",Demais Organizações,,,,,,,,,,"Imobiliário, holding e turismo",Pretende desenvolver parceria com o IFSULDEMINAS ,,,,,,,,,Demais Organizações,Sim,Sim,Poços de Caldas,MG,https://i.postimg.cc/nrLW0VPN/logo-CADAP.jpg,https://citur.com.br/,rcdias.cadap@gmail.com, , , , , , , , , ,Pretende desenvolver parceria com o IFSULDEMINAS ,,,,,Não,,,,, 
Civitas Consultoria,"A Civitas é a primeira consultoria especializada em Relações Institcionais e Governamentais sediada em Minas Gerais. Atuamos com as mais modernas ferramentas e técnicas de public affairs, buscando potencializar e qualificar a reputação e influência de nossos clientes, bem como na institucionalização da relação entre o público e o privado com vistas a fomentar melhores oportunidades de desenvolvimento através da segurança jurídica, da informação e da melhor organização dos interesses defendidos junto aos tomadores de decisão. Hoje já atuamos para setores produtivos de Minas, com excelentes resultados na melhoria de sua defesa de interesses e de monitoramento de risco político e regulatório.",Demais Organizações,,,,,,,,,,Consultoria em Relações Institucionais e Governamentais,"Prestamos serviços de diagnóstico com metodologia própria através de KPIs destinados a identificar o grau de maturidade das políticas das organizações em termos de public affairs, buscando oferecer estratégias em um plano de ação destinado e melhorar esses indicadores. Além disso, oferecemos consultoria pro bono para entidades destinadas a defesa de interesses de natureza social, buscando exercer a responsabilidade organizacional e contribuir através de nossa expertise na qualificação das pautas propostas. Para o Compete Minas 2024, proporemos o desenvolvimento de um software de análise de risco político e regulatório para o agronegócio mineiro, com foco em utilizar a Inteligência Artificial para alertar setores e produtores sobre o impacto de medidas em curso somadas a outros fatores, como risco climático, por exemplo.",,,,,,,,,Demais Organizações,Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/fRzsK4dY/civitas-logo-Prancheta-2-c-pia-9.png,https://civitasrelgov.com.br,guilherme@civitasrelgov.com.br, , , , , , , , , ,"Prestamos serviços de diagnóstico com metodologia própria através de KPIs destinados a identificar o grau de maturidade das políticas das organizações em termos de public affairs, buscando oferecer estratégias em um plano de ação destinado e melhorar esses indicadores. Além disso, oferecemos consultoria pro bono para entidades destinadas a defesa de interesses de natureza social, buscando exercer a responsabilidade organizacional e contribuir através de nossa expertise na qualificação das pautas propostas. Para o Compete Minas 2024, proporemos o desenvolvimento de um software de análise de risco político e regulatório para o agronegócio mineiro, com foco em utilizar a Inteligência Artificial para alertar setores e produtores sobre o impacto de medidas em curso somadas a outros fatores, como risco climático, por exemplo.",,,,,Não,,,,, 
REAL ENGENHARIA E CONSTRUÇÕES LTDA,"OBJETIVO DA ORGANIZAÇÃO É REALIZAR CONSTRUÇÕES E METODOS CONSTRUTIVOS DE QUALIDADE, SUSTENTAVEL COM INOVAÇÃO E GERAÇÃO DE EMPREGOS. ",Demais Organizações,,,,,,,,,,CONSTRUÇÃO CIVIL,"CONSTRUÇÕES SUSTENTÁVEIS , COM A INCIATIVA DE TRABALHAR UM PRODUTO SUSTENTAVEL E DE APELO HUMANITÁRIO PARA AJUDAR AS PESSOAS NECESSITADAS",,,,,,,,,Demais Organizações,Sim,Sim,Araxá,MG,https://i.postimg.cc/c45dYhfv/LOGO-REAL-ENGENHARIA-VERSAO-VERTICAL.png,https://naotemossite.com,realengenhariaaraxa@gmail.com, , , , , , , , , ,"CONSTRUÇÕES SUSTENTÁVEIS , COM A INCIATIVA DE TRABALHAR UM PRODUTO SUSTENTAVEL E DE APELO HUMANITÁRIO PARA AJUDAR AS PESSOAS NECESSITADAS",,,,,Não,,,,, 
Apiário Mata Verde,"Extração, produção e envase de produtos apícolas. Comercialização de produtos apícolas",Demais Organizações,,,,,,,,,,Micro empresa,Nenhum,,,,,,,,,Demais Organizações,Sim,Sim,São Bento Abade,MG,https://i.postimg.cc/B6vKyVV8/logo-api-rio-1.png,https://www.apiariosmataverde.com,lucas.car1234524@gmail.com, , , , , , , , , ,Nenhum,,,,,Não,,,,, 
Soberano consultoria e experimentos agrícolas,"Proposta é oferecer um fertilizante a partir do uso de soro leite como fonte alternativa para a cultura da cana-de-açúcar. O objetivo da organização é oferecer pesquisa com resultados de qualidade e parâmetros científicos, resultando em eficiência, assertividade e fontes alternativas como insumos agrícolas.",Demais Organizações,,,,,,,,,,Empresa de pesquisa agrícola,"Atualmente a empresa desenvolve projeto de pesquisa científico no ramo da cafeicultura para auxiliar a qualidade de café especiais. O trabalhos são desenvolvidos em conjunto com intuições de Pesquisa como a UNESP/FCAV - Jaboticabal. A empresa trabalha com consultoria no ramo agrícola, desenvolvendo projetos de manejos de adubação para as cultura de cana-de-açúcar e abacaxi.",,,,,,,,,Demais Organizações,Sim,Sim,Frutal,MG,https://i.postimg.cc/NFFjnxDt/IMG-6269.jpg,https://www.google.com/url?sa=j&url=https%3A%2F%2Fexemplo.com%2F&uct=1710808585&usg=OUgAZeHZOEMQ_NRDO0t4QkNYTNc.&source=editors,samiraqueirozagronoma@gmail.com, , , , , , , , , ,"Atualmente a empresa desenvolve projeto de pesquisa científico no ramo da cafeicultura para auxiliar a qualidade de café especiais. O trabalhos são desenvolvidos em conjunto com intuições de Pesquisa como a UNESP/FCAV - Jaboticabal. A empresa trabalha com consultoria no ramo agrícola, desenvolvendo projetos de manejos de adubação para as cultura de cana-de-açúcar e abacaxi.",,,,,Não,,,,, 
