Nome da Organização,M1,M2,M3,M4,M5,M6
Safe Trace Sistemas de Rastreabilidade S.A.,Alinha,Não Alinha,Não Alinha,Alinha,Alinha,Não Alinha
NEORA - SOLUÇÃO DE APOIO A APS,Não Alinha,Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
Phast - Physiotherapy Assessment Tool,Não Alinha,Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
Appia,Alinha,Não Alinha,Não Alinha,Alinha,Não Alinha,Não Alinha
9 walls Security,Não Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
Nuresp,Não Alinha,Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
Thronus Group LTDA,Não Alinha,Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
Integra IoT,Alinha,Não Alinha,Alinha,Alinha,Alinha,Não Alinha
Esporte Sistemas,Não Alinha,Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
Ctrl Saúde,Não Alinha,Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
Ponto Sustentável,Não Alinha,Não Alinha,Alinha,Não Alinha,Alinha,Não Alinha
Birthtech Dispositivos para a Saude Ltda,Não Alinha,Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
Reuso Recicla+,Não Alinha,Não Alinha,Não Alinha,Não Alinha,Alinha,Não Alinha
Global Braim,Não Alinha,Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
CAFEIN,Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
IN8,Não Alinha,Alinha,Não Alinha,Alinha,Não Alinha,Não Alinha
Farmacart,Não Alinha,Alinha,Não Alinha,Alinha,Não Alinha,Não Alinha
IAS Soluções Tecnológicas,Alinha,Não Alinha,Não Alinha,Alinha,Não Alinha,Não Alinha
Direto de Minas Marketplace,Não Alinha,Não Alinha,Não Alinha,Alinha,Não Alinha,Não Alinha
IDGeo,Alinha,Não Alinha,Não Alinha,Alinha,Não Alinha,Não Alinha
Nexti Soluções Inteligentes,Alinha,Não Alinha,Não Alinha,Alinha,Não Alinha,Não Alinha
Cling Gestão,Alinha,Não Alinha,Não Alinha,Alinha,Não Alinha,Não Alinha
Campotech,Alinha,Não Alinha,Não Alinha,Alinha,Alinha,Não Alinha
72up,Não Alinha,Não Alinha,Não Alinha,Alinha,Não Alinha,Não Alinha
Banho Baby,Não Alinha,Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
Locusprime,Não Alinha,Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
Salude Tecnologias,Não Alinha,Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
MOOV,Não Alinha,Não Alinha,Alinha,Alinha,Alinha,Não Alinha
NUTRIMULTI CERRADO IND. E COM. DE ALIMENTOS LTDA,Não Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
