nome_organizacao,descricao_organizacao,segmento_atuacao,tecnologias_disruptivas
Nimble Sabores Inteligentes e Comércio Ltda,"Exploramos ingredientes naturais incríveis, como pimenta rosa, alecrim e hibisco, e transformamos suas essências em algo genuinamente surpreendente em uma metodologia exclusiva. Tudo feito da forma mais natural possível. Combinamos essas especiarias incríveis com polpa de frutas frescas, com toda a dedicação e carinho do mundo, para criar um sabor que vai encantar o seu paladar e alegrar o seu momento. Nosso objetivo é criar produtos inovadores que redefinam as experiências sensoriais de nossos
consumidores, integrando bem-estar social, sabores marcantes e praticidade. Como resultados principais, temos a conquista de mais seguidores nas redes sociais, construção de site com e-commerce, pontos de vendas em alguns minimercados e aprovação em edital público para aceleração como startup de inovação no mercado de bebidas.",Alimentos,Nenhuma
Conecta Saúde,"Promover Telesaúde para municípios onde existe dificuldade de atendimento, grande número de deslocamento, e falta de equipe médica. Fizemos uma POC de sucesso na cidade de Olaria - MG","Governo, Saúde",Big Data
Satis Indústria e Comércio Ltda,INVESTIMENTO EM PESQUISA,Agronegócio,
FUNDACAO EDUCACIONAL LUCAS MACHADO FELUMA,"Dentre os principais objetivos da FELUMA está aquele de promover atividades de ensino, pesquisa científica de extensão e assistência nas áreas de su atuação, através de seus Institutos ou de celebração de convênios, contratos, acordos ou outros instrumentos jurídicos com instituições públicas ou privadas, pessoas naturais ou jurídicas, nacionais ou estrangeiras. Para fins de inscrição, diz-se que a FELUMA tem como objetivo funcionar como nucleador de um ecossistema de inovação em saúde que integra os diversos atores essenciais a tal ambiente: empreendedores, startups e empresas nas mais diversas fases de maturidade, investidores e parceiros. A FELUMA, por meio de um de seus núcleos, busca possibilitar a criação a partir do ambiente de ciências da saúde que se estende às outras áreas do conhecimento, conferindo-lhe um caráter fortemente interdisciplinar. 

Seus resultados, na área de inovação, ainda estão em fase incipiente. Conduz-se alguns projetos relacionados a pesquisa de bancada,  eletroeletrônica, inteligência artificial, dentre outros.","Biociências ou ciências da vida, Educação, Tecnologia da Informação e Comunicação (TIC)",
IDelta 4.0 LTDA,Auxiliar o produtor de cafe (cafeicultor) que utiliza irrigação a desenvolver suas atividades utilizando menor quantidade de forma a não reduzir a produtividade. Os resultados obtidos mostram que o cafeicultor geralmente usa muito mais água que o necessário (na ordem de 30% a 50% de excesso). A metodologia de manejo hídrico que aplicamos permite o desenvolvimento de uma agricultura irrigada mais sustentável.,Agronegócio,IOT (Internet das Coisas)
FóIE Energia Solar,"A FóIE (Fóton Inteligência Energética) é uma empresa de engenharia com foco em energia solar, nasceu com ideais de energia eficiente, de fonte limpa e inesgotável.",Energia,
Vitali Life,Empresa de Inovação em Saúde e Beleza e Bem Estar,"Indústria 4.0, Saúde, Varejo",Nanotecnologia
3778,"A 3778 é uma empresa de tecnologia que está guiando a saúde para um novo caminho. Através do poder dos dados, design e inteligência artificial, transformamos o acesso, a gestão e a remuneração em saúde, redefinindo a experiência do cuidado para empresas, médicos, hospitais, indústria e milhares de pacientes.",Saúde,
AgriVerti,"A AgriVerti é uma fazenda vertical urbana que produz vegetais de forma sustentável sem uso de solo e agrotóxicos em ambiente controlado. Nossos produtos estão prontos para consumo sem necessidade de lavar. A startup foi fundada em 26 de março de 2021 na cidade de Lavras, MG. A AgriVerti tem um impacto positivo no mundo e está contribuindo para solucionar alguns dos problemas que temos com a Agricultura atual através da produção em ambiente controlado como:
- oferecer produtos premium com maior teor nutricional, mais sabor e melhor textura;
- cultivo limpo sem uso de agrotóxicos;
- produção consistente o ano todo sem interferência climática;
- redução de perdas de alimentos frescos no transporte a longa distância pois a fazenda se localiza próximo aos consumidores; - utilizar menos água que o sistema de produção tradicional e orgânico (até 95% menos água);
- produzir mais em menor espaço;
- reduzir a produção de emissões de carbono geradas por cada etapa do processo agrícola;
A AgriVerti atualmente oferece cinco linhas de produtos para os clientes. - Microverdes frescos (ou microgreens): são vegetais em fase jovem (6-22 dias) ricos em nutrientes e compostos bioativos. Atualmente oferecemos 20 tipos de microverdes. - Manjericão fresco: folhas de manjericão tipo “Genovese” frescos.
Folhas bebe (baby leaf): são vegetais em fase mais avançada que os microverdes mas mais jovens que as plantas em fase adulta. São colhidos entre 20-40 dias.
- Kit de cultivo de microverdes: os kits de cultivo de microverdes foram criados para atender clientes de todo o Brasil no qual querem consumir microverdes mas ainda não encontram em suas cidades. Oferecemos atualmente 14 tipos de sementes. O kit de cultivo é completo para 4 cultivos e super fáceis de cultivar.
- Prateleira suporte para cultivo de microverdes: foi criada para atender clientes que querem produzir os microverdes em pequenos espaços. As prateleiras são super práticas e podem ser instaladas em janelas de vidro. Assim, elas garantem uma maior exposição dos micro verdes à luminosidade. São feitas de material resistente, de qualidade e transparente para não atrapalhar a visão.
No futuro, temos interesse em expandir nosso portfólio de produtos e oferecer alem de hortaliças folhosas as plantas medicinais, frutas, frutos, flores comestíveis, cogumelos e produzir embalagens sustentáveis. Tudo será produzido de forma vertical com ambiente controlado, sem uso de agrotóxicos e de forma sustentável. Vamos também oferecer consultoria, treinamentos, e desenvolver sistemas de cultivo e equipamentos para instalação de fazendas verticais com ambiente controlado em diversas cidades do Brasil.",Agronegócio,Fazenda vertical com ambiente controlado
Pandô APPs,"Empresa focada no desenvolvimento de softwares extremamente complexos, atuante ativamente no setor da energia porém com portfólio contendo projetos em diversas áreas da economia brasileira","Publicidade, Agronegócio, Educação, Energia, Finanças, Gestão de negócios, Governo, Indústria 4.0, Negócios sociais, Cidades inteligentes, Logística, Tecnologia da informação","Big Data, Deep Learning, IOT (Internet das Coisas), Machine Learning"
Econvenios,"ECONVENIOS
CONSISTE EM UMA COMUNIDADE DE NEGOCIOS QUE CONECTA EMPRESAS CONTRATANTES A FORNECEDORES LOCAIS, FACILITANDO AS TROCAS E DESENVOLVIMENTO DA ECONOMIA LOCAL ATRAVES DA GESTÃO DE CONTRATOS, CONTROLE DO FORNECIMENTO E FECHAMENTO AUTOMATICO DE FATURAS.
Até o momento temos dois módulos prontos, sendo eles: Alimentação e Abastecimento. O projeto inicial foi testado em parceria com um grande contratante, prestador de serviço para CEMIG. E ate o momento estamos com 360 restaurantes conveniados e 80 postos espalhados nas regiões do Triangulo e Alto Paranaíba.
Levamos economia de tempo e dinheiro para ambas as partes, pois as empresas não precisam mais utilizar cartão de refeição e cartão de abastecimento para ter controle de suas operações. desonerando o fornecedor que converte o beneficio em desconto fortalecendo a parceria.
Nossa empresa cobra pela disponibilidade, pois somos prestadores de serviço e não sócios na operação das empresas presentes na comunidade.
Estatais como Cemig e Copasa ou secretarias que tem serviço itinerante tem total sinergia com os dois módulos prontos e podem levar economia para o estado desde já.
Nosso principal objetivo neste edital é além de cumprir nosso proposito de criar um modelo de desenvolvimento econômico sustentável, facilitando as trocas entre empresas contratantes e fornecedores locais, é levar economia as cofres públicos. O que mais uma vez seria revertido em prol da comunidade.
Os 3 novos módulos previstos para a comunidade de negócios são: Compras Emergências( aquelas urgentes que nem sempre passam por cotação), Hospedagem e Serviços. Participar desta mentoria será um grande passo para seguirmos firmes neste proposito.","Finanças, Gestão de negócios",Nenhuma
Update Analytics,"Objetivo: Transformar empreendimentos e seus ambientes produtivos através da análise e organização de dados. Atuamos na indústria da inovação e infraestrutura, cidades e comunidades sustentáveis, consumo e produção sustentáveis. Acreditamos que a empresa orientada por dados, ao utilizar sistematicamente dados e inteligência de negócios tem a tomada de decisão assertiva e precisa!
Resultados: Criamos um ambiente inovador empresarial dentro do âmbito acadêmico, conseguimos assim entender a demanda do mercado ainda na graduação. Com isso capturar talentos antes de serem inseridos no mercado de trabalho.
Desenvolvemos 2 sistemas que visam a busca e captação de dados para tomadas de decisões nos setores de frotas e varejo. Também conquistamos uma parceria com empresa de tecnologia da informação, para produção de códigos.","Agronegócio, Automóveis, Cidades inteligentes, Educação, Gestão de negócios, Indústria 4.0, Logística, Mineração, Mobilidade, Segurança, Sustentabilidade, Tecnologia da informação, Varejo","Big Data, Deep Learning, IOT (Internet das Coisas), Machine Learning"
Fisio Go,"Esqueça a ideia de meses de Fisioterapia.
Na Fisio Go optamos por uma abordagem muito diferente das clínicas tradicionais:
Em vez de apostarmos numa política de sessões intermináveis de tratamento onde aplicamos o mesmo tratamento às cegas a toda a gente, preferirmos tirar partido do conhecimento que existe sobre o corpo humano para tratar cada problema de forma individual. Cada caso é um caso. Abordando cada pessoa de uma forma individual, conseguimos um tratamento muito mais eficaz e em muito menos tempo.
Claro que para o conseguirmos, precisamos de profissionais qualificados que estejam sempre a par das mais recentes novidades na área da reabilitação física.
Para garanti-lo, a nossa equipa encontra-se em formação contínua desde o momento que entra para o mundo da reabilitação. E adoramos o que fazemos!
Temos também acesso a tecnologia de referência mundial no que diz respeito a reabilitação de lesões e recuperação/preparação de atletas (T Plus Wintecare - https://wintecare.ch/). Esta tecnologia permite tornar os tratamentos rápidos, ainda mais rápidos, ainda mais eficientes!
Resumo:
- Resultados muito melhores
- Resultados muito mais rápidos
- Perder menos tempo na massadora Fisioterapia
- Poupar dinheiro
- Regressar mais rapidamente às suas práticas diárias (treinar sem dor, voltar ao trabalho, fazer o que lhe apetece sem dores e sem limitações).",Saúde,
Biomm,"Companhia desenvolve medicamentos inovadores e de alta tecnologia no país para tratamentos como diabetes e câncer 
 A Biomm nasceu em 2001 com a missão de desenvolver, produzir e comercializar biomedicamentos de competitividade global, com qualidade e acessibilidade. O foco da companhia está no desenvolvimento de medicamentos biológicos de alta tecnologia para o tratamento de doenças crônicas - especialmente para o diabetes e o câncer.
 Os medicamentos biológicos são fármacos de última geração, destinados ao tratamento de enfermidades complexas. São feitos de moléculas criadas com organismos vivos, como microrganismos ou células, diferentemente dos medicamentos químicos tradicionais, e apresentam eficácia e segurança comprovadas cientificamente. 
 Um dos focos de atuação da Biomm é no desenvolvimento de insulinas, visando garantir a autossuficiência nacional na produção de medicamentos para diabetes. Um exemplo é a Afrezza, a primeira insulina administrada por meio de inalação a chegar ao mercado brasileiro. Com ação ultrarrápida, o medicamento é capaz de fazer os níveis de açúcar baixarem em cerca de 15 minutos. Atualmente, as insulinas comercializadas no Brasil são majoritariamente fornecidas por companhias farmacêuticas internacionais.
 No Brasil, há 12,5 milhões de pessoas com diabetes (8,7% da população), segundo dados do IDF (International Diabetes Federation). Estima-se que em 2045 haverá 20,3 milhões de diabéticos, que representarão 11,7% da população. 
 O diabetes é uma das cinco classes terapêuticas mais pesquisadas pela indústria, sendo a única doença não-infecciosa considerada epidêmica pela Organização Mundial de Saúde (OMS). Por isso a importância dos investimentos em medicamentos para tratá-la.",Ciências biológicas,
TROPICAL INDUSTRIA DE ALIMENTOS SA.,"A Tropical Indústria de Alimentos S.A (Tial). é uma empresa de alimentos que busca transformar a gestão da Estação de Tratamento de Efluentes (ETE) através da implementação de uma ETE 4.0 inovadora, integrando automação inteligente, sensorização, IoT e inteligência artificial. 

A empresa optou por participar dessa chamada com o intuito de diagnosticar o sistema e implementar uma solução inovadora para otimizar a ETE gerando impactos positivos para a empresa, o meio ambiente e a sociedade.",Alimentos e Bebidas,
TOGOV NEGOCIOS CONSULTORIA DESENVOLVIMENTO E TECNOLOGIA LTDA,"O sistema e aplicativo ToGov é um centralizador de dados para órgãos públicos de todo o Brasil. Através do nosso sistema, há o cruzamento e centralização de várias fontes de dados, com relacionamento entre dados externos, tais como: acompanhamento de situação fiscal, recebimento de recursos; e  dados internos, como: execução orçamentária, indicadores de governança, a fim de oferecer aos gestores visão sistêmica sobre a situação da máquina pública. Mais do que mostrar dados, analisamos e os transformamos em informação, de forma a proporcionar decisões assertivas e rápidas
De forma detalhada, apresentamos ferramentas de: planejamento orçamentário; acompanhamento de execução orçamentária (cenário atual e previsões para próximos meses); análise de RH; cálculo de índices constitucionais (gastos com pessoal, saúde e educação), com projeções de curto e médio prazo; monitoramento da situação dos contratos; análise de potencial do comércio local para suprimir demanda do setor de compras do município; análise de emendas parlamentares, empregos, empresas e situação do município perante ao Tesouro. 
Com tais funcionalidades, nosso sistema é capaz de atender 3 necessidades principais do gestor público: planejamento baseado em dados e evidências, acompanhamento em tempo real da situação do município e análise de cenário macro. Com isso, possibilitamos aos gestores encontrar em um único local todas essas informações, sem precisar recorrer a inúmeras pessoas ou sistemas.
Além disso, o sistema possui funcionalidade de notificar ativamente ao gestor, por meio de whatsapp quando algum índice ou excepcionalidade acontece. 
","Cidades inteligentes, Finanças, Governo, Recursos Humanos, Tecnologia da informação","Big Data, Machine Learning, Business Intelligence"
AmplyCode,"A Amplycode é uma startup que oferece soluções tecnológicas, desenvolvendo softwares para o setor agrícola. 
Fechamos um contrato com uma empresa bem conceituada no mercado e estamos em fase de validação",Agronegócio,Big Data
Deixa ela treinar,"O projeto Deixa Ela Treinar tem a proposta de investir na diversidade feminina, seja a prática que for. Seus produtos são voltados para a sustentabilidade do meio ambiente, onde tecidos tecnológicos biodegradáveis são utilizados, além do processo de sublimação da produção, que evita desperdício de água. Na trajetória da marca, Fernanda foi uma das empreendedoras selecionadas para participar do programa televisivo Shark Tank Brasil, onde conseguiu angariar investimento da empresária Carol Paiffer.
Deixa Ela Treinar é uma marca nativa digital e, atualmente, está em diversos marketplaces de vestuário, além das vendas pelo nosso e-commerce. Ademais, atendemos o mercado B2B2C e B2B. Entretanto, temos uma demanda reprimida para expandir nossos negócios. Essa demanda será solucionada através da contratação de time e pessoas dedicadas na estratégia do negócio.","Esporte, Saúde",Nenhuma
BR QUALITY LABORATORIO E CONSULTARIA LTDA,"Com 11 anos de mercado, a BRQuality atua diretamente nas áreas de Qualidade e Segurança dos Alimentos. Nosso objetivo é desenvolver soluções criativas junto aos nossos clientes e descomplicar o que parece difícil! 

Queremos desenvolver uma relação de parceria com cada cliente, aprimorando seus processos e melhorando seu sistema de qualidade e cultura de segurança dos alimentos. 

Realizando análises de alimentos e bebidas com as melhores práticas de análise, sempre com o objetivo de demonstrar a real situação daquela amostra, ajudando nossos clientes a solucionar seus problemas de contaminação para que alimentos seguros sejam oferecidos ao mercado.

Acreditamos que a produção e alimentos seguros não é apenas atender a normas vigentes e obrigatórias, é sim, responsabilidade social de todos os envolvidos na cadeia de alimentos. Garantir que um alimento seguro chegue na mesa de cada consumidor. Ter a tranquilidade de que o alimento que chega a mesa do consumidor não representará um risco a saúde dele e da sua família!",Agronegócio,"IOT (Internet das Coisas), Nanotecnologia"
Destilaria Lassaleti,"Ampliação de capacidade produtiva com fábrica sustentável e automatização de processos, focando tambem em lancamento de novos produtos. Fomos eleito o melhor gin do brasil e medalha de ouro em bruxelas. ",Alimentos,Nenhuma
Cientec Ambiental,"Software Mata Nativa para processamento de inventários de florestas nativas. Solução de 20 anos de mercado, sendo líder e referência na área. 
Universidade Econativa, que oferece cursos nas áreas florestal e ambiental.
Blog do Mata Nativa, principal blog da área florestal no Brasil, com mais de 25 mil acessos únicos mensais.",Ciências biológicas,Nenhuma
RGA MG - Equipamentos e Projetos Especiais,"A RGA MG construiu ao longo dos anos uma forte presença no mercado mineiro, tornando-se especialista no desenvolvimento de equipamentos personalizados/adaptados, que visam atender às diversas necessidades do setor da mineração, siderurgia e grandes indústrias.

Alinhando segurança e tecnologia de ponta, a RGA MG possui projetos desenvolvidos para as grandes mineradoras brasileiras.

Fornecendo máquinas de alto desempenho, que buscam otimizar a produtividade, diminuindo os custos das empresas e os riscos aos colaboradores.","Agronegócio, Indústria 4.0, Mineração, Segurança, Sustentabilidade, Siderurgia",IOT (Internet das Coisas)
HiDoctor,"HiDoctor®, o software médico completo. Fácil de usar, com agenda, prontuário médico, prescrição eletrônica, acesso com ou sem internet e outras vantagens exclusivas. Você pode instalar agora o HiDoctor® e usufruir imediatamente das vantagens do sistema.",Saúde,
UmiTerm,"O produto UmiTerm consiste em uma solução tecnológica biomédica preventiva enfocada no processo de análise de funcionamento de incubadora neonatal a fim de reduzir erros humanos e garantir o desenvolvimento ideal do prematuro. 
Atualmente, a startup está em processo de Ideação pela Incubadora de Empresas e Projetos do Inatel. Em processo de validação da solução por contato com hospitais, engenheiros clínicos, técnicos e profissionais da saúde. 
O primeiro protótipo básico se mostrou efetivo com base nos primeiros testes feitos em feira tecnológica.","Gestão de negócios, Saúde, Regulamentação e compliance",Big Data
Revex,"Alocamos pessoas às suas tarefas no momento em que a empresa mais necessita, de acordo com a demanda, atendendo todas as regras da lei e com o menor custo possível.","Gestão de negócios, Saúde, Recursos Humanos, Regulamentação e compliance, Varejo","Big Data, inteligência artificial"
Fungal ID LTDA,"Somos uma empresa que desenvolve soluções em micologia.  Participamos do Programa Lemonade e, com o apoio do programa Centelha, conseguimos desenvolver um protótipo do nosso primeiro produto: um aplicativo de celular que utiliza inteligência artificial para auxiliar na detecção de presença de fungos em imagens de amostras clínicas. Esta é uma ferramenta inovadora para os exames micológicos diretos, atualmente executados de forma exclusivamente visual pelo técnico de laboratório. Pretendemos agora avançar no desenvolvimento desta solução.","Ciências biológicas, Saúde",Inteligência artificial baseada em visão computacional
AIMIRIM,"A Aimirim foi fundada em 2010 por pesquisadores da Universidade Federal de Uberlândia (UFU). 

Nossa equipe conta com profissionais com mais de 15 anos de experiência, dominando métodos numéricos, matemáticos e computacionais capazes de trazer para a indústria as soluções mais eficientes, seguindo padrões mundiais de engenharia avançada.

Nosso principal objetivo é aumentar a eficiência industrial por meio da transformação digital. Para isso, desenvolvemos internamente soluções que permitem melhorar a qualidade da produção e  reduzir os custos operacionais e o impacto ambiental.

Temos vários cases de sucesso em diversas indústrias Nacionais e Multinacionais de grande porte, já geramos economia na ordem de R$200MM a nossos clientes além de ajuda-los a alcançar certificações ESG.","Agronegócio, Energia, Indústria 4.0, Tecnologia da informação","Big Data, IOT (Internet das Coisas), Machine Learning"
Nooa Ciência e Tecnologia Agrícola LTDA,"Soluções biológicas para a agricultura. Temos um portifólio de bioativos como inoculantes, controle de doenças e pragas e para estresse abióticos.",Agronegócio,Nenhuma
