MercadoLead,Missão 4: Transformação digital da indústria.
"BEE Bio Ecommitted Evolution Serviços, Industria e Comercio Ltda","Missão 1, 2 e 5: Agro, Saúde e Bioeconomia."
VINE SOLUÇÕES,Missão 1: Cadeias agroindustriais sustentáveis e digitais.
Cryptonita,Missão 4: Transformação digital da indústria.
Genyo - Gestão Inteligente,Missão 4: Transformação digital da indústria.
Recombine Biotech,Missão 2: Complexo econômico e industrial da saúde resiliente.
Broker Cripto,Missão 4: Transformação digital da indústria.
Gruller,Não se enquadra diretamente.
Evnts,Missão 4: Transformação digital da indústria.
App Masters,Missão 4: Transformação digital da indústria.
SOLVER Tecnologias,Missão 3 e 4: Infraestrutura e Transformação digital.
Alarmes Santa Rita Industria e Comercio Ltda,Missão 6: Tecnologias de interesse para a soberania e defesa nacionais.
UZZI TICKET,Missão 4: Transformação digital da indústria.
Smart Pública,Missão 4: Transformação digital da indústria.
Influenzer,Missão 4: Transformação digital da indústria.
Investidoresanjos.com,Missão 4: Transformação digital da indústria.
OpTime Rotas,Missão 1: Cadeias agroindustriais sustentáveis e digitais.
eMotion Studios,Missão 4: Transformação digital da indústria.
Denerr,"Missão 5: Bioeconomia, descarbonização e transição energética."
4 Milk,Missão 1: Cadeias agroindustriais sustentáveis e digitais.
e-Consultar,Missão 2: Complexo econômico e industrial da saúde resiliente.
Meu Cuidador,Missão 2: Complexo econômico e industrial da saúde resiliente.
Conciliadora,Missão 4: Transformação digital da indústria.
Syn IT Soluções em Tecnologia e Treinamentos,Missão 4: Transformação digital da indústria.
Direto de Minas Market Place,Missão 4: Transformação digital da indústria.
Volts,"Missão 5: Bioeconomia, descarbonização e transição energética."
Hospede-se,Missão 4: Transformação digital da indústria.
Hobby Sports,Missão 2 e 4: Saúde e Transformação Digital.
BeerOrCoffee,Missão 4: Transformação digital da indústria.
Kéxion Fintech,Missão 2 e 4: Saúde e Transformação Digital.
Iasmin Mata,Missão 4: Transformação digital da indústria.
Hidrocontrol,Missão 1: Cadeias agroindustriais sustentáveis e digitais.
EyeConnect - soluções em telemedicina,Missão 2: Complexo econômico e industrial da saúde resiliente.
Portal de Comunicação,Missão 1 e 4: Agro e Transformação Digital.
INSURTECH SOFTWARES & SOLUCOES,Missão 4: Transformação digital da indústria.
iArremate,Missão 4: Transformação digital da indústria.
Impact Gestão para Resultados Ltda.,Missão 1 e 4: Agro e Transformação Digital.
ClickCard,Missão 4: Transformação digital da indústria.
Épsilon Automação LTDA,Missão 1 e 4: Agro e Transformação Digital.
4Medic,Missão 2: Complexo econômico e industrial da saúde resiliente.
Para Elas Mobilidade,"Missão 3: Infraestrutura, saneamento, moradia e mobilidade sustentáveis."
iDelta 4.0,Missão 1: Cadeias agroindustriais sustentáveis e digitais.
Construgame,"Missão 3: Infraestrutura, saneamento, moradia e mobilidade sustentáveis."
BELL ANJOS INDÚSTRIA COMÉRCIO E REPRESENTAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS,Missão 1 e 4: Agro e Transformação Digital.
CEPHA Biotech,Missão 1 e 2: Agro e Saúde.
LinkSaúde,Missão 2: Complexo econômico e industrial da saúde resiliente.
NanoPack - Tecnologia em Embalagens,Missão 1 e 5: Agro e Bioeconomia.
Curtida.Social,Missão 4: Transformação digital da indústria.
Aiko Logic,Missão 4: Transformação digital da indústria.
Onegreen,Missão 4 e 5: Transformação Digital e Descarbonização.
Arko Industria e Comercio de Mineração e fertilizantes,Missão 1: Cadeias agroindustriais sustentáveis e digitais.
SmarttBot,Missão 4: Transformação digital da indústria.
Cailís Educação Musical,Missão 4: Transformação digital da indústria.
G&M Soluções,"Missão 5: Bioeconomia, descarbonização e transição energética."
Belgo Bekaert Arames,"Missão 1, 3 e 5: Agro, Infraestrutura e Descarbonização."
COOPERATIVA DOS GRANJEIROS DO OESTE DE MINAS LTDA,Missão 1: Cadeias agroindustriais sustentáveis e digitais.
CINKO Engenharia e Arquitetura,"Missão 3: Infraestrutura, saneamento, moradia e mobilidade sustentáveis."
Hop Digital,Missão 4: Transformação digital da indústria.
VMIS,Missão 2 e 6: Saúde e Defesa.
12minutos,Missão 4: Transformação digital da indústria.
M&S Soluções Industriais,Missão 4: Transformação digital da indústria.
PódeSim Moda Sustentável,"Missão 5: Bioeconomia, descarbonização e transição energética."
MGM Logística SA,Missão 4: Transformação digital da indústria.
Fácil Sistemas e Serviços Ltda,Missão 4: Transformação digital da indústria.
Spiral Energia e Valorização de Resíduos,"Missão 5: Bioeconomia, descarbonização e transição energética."
happhome,Missão 3 e 4: Infraestrutura e Transformação Digital.
Compass,Missão 2: Complexo econômico e industrial da saúde resiliente.
Appia Tech,"Missão 3: Infraestrutura, saneamento, moradia e mobilidade sustentáveis."
Loja CAOS,Não se enquadra diretamente.
Tecnologia de Saúde - Aplicativo Q21,Missão 2: Complexo econômico e industrial da saúde resiliente.
Bússola do Investidor,Missão 4: Transformação digital da indústria.
CognIO,Missão 4 e 5: Transformação Digital e Transição Energética.
NUTRIAQUA,Missão 1: Cadeias agroindustriais sustentáveis e digitais.
Maestria Treinamentos (Passa Eu),Missão 4: Transformação digital da indústria.
Simply,Missão 4: Transformação digital da indústria.
Agência Palco,Missão 4: Transformação digital da indústria.
Grupo Algar,Missão 1 e 4: Agro e Transformação Digital.
Toledo e Magalhães Tecnologia da Informação,Missão 4: Transformação digital da indústria.
Bateu Resolveu Consultoria Ltda,"Missão 3: Infraestrutura, saneamento, moradia e mobilidade sustentáveis."
Horizonti Soluções Digitais,Missão 4: Transformação digital da indústria.
Laborshare,Missão 4: Transformação digital da indústria.
NETCOELHO,Missão 1 e 4: Agro e Transformação Digital.
JAC INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,Missão 1: Cadeias agroindustriais sustentáveis e digitais.
BVC Serviços e Soluções LTDA,Missão 4: Transformação digital da indústria.
Itambe,Missão 1: Cadeias agroindustriais sustentáveis e digitais.
Territorius,Missão 3 e 5: Infraestrutura e Bioeconomia.
IConnectPet,Missão 1: Cadeias agroindustriais sustentáveis e digitais.
Contador Agora,Missão 4: Transformação digital da indústria.
Kexime Fintech LTDA,Missão 4: Transformação digital da indústria.
4Intelligence,Missão 4: Transformação digital da indústria.
GeoTI,Missão 4: Transformação digital da indústria.
Bigcash,Missão 4: Transformação digital da indústria.
Reev,Missão 4: Transformação digital da indústria.
Center Educacional Ltda,Missão 4: Transformação digital da indústria.
UPDATE DATA LTDA,"Missão 1, 3, 4 e 5: Agro, Infraestrutura, Digital e Bioeconomia."
Bawsaw,Missão 4: Transformação digital da indústria.
Litroz,Missão 4: Transformação digital da indústria.
INUP SOLUÇÕES CONTÁBEIS,Missão 4: Transformação digital da indústria.
HRT Medicina Avançada //Récipe Digital,Missão 2: Complexo econômico e industrial da saúde resiliente.
Cucco,Missão 4: Transformação digital da indústria.
Nanoview Nanotecnologia,"Missão 1, 3, 4 e 5: Agro, Infraestrutura, Digital e Bioeconomia."
Santo Cartão,Missão 4: Transformação digital da indústria.
300 Inteligência,"Missão 1, 4 e 5: Agro, Digital e Bioeconomia."
Izymak,Missão 4: Transformação digital da indústria.
Contelli Media,Missão 4: Transformação digital da indústria.
Fcamp Soluções em Energia,"Missão 5: Bioeconomia, descarbonização e transição energética."
Do4Me,"Missão 3: Infraestrutura, saneamento, moradia e mobilidade sustentáveis."
To Talk,Missão 4: Transformação digital da indústria.
AMANTYKIR TECNOLOGIA EM MAQUINAS ESPECIAIS,Missão 4: Transformação digital da indústria.
PROS-C SERVIÇOS ESPECIALIZADOS,Missão 3 e 4: Infraestrutura e Digital.
Dinni,Missão 1: Cadeias agroindustriais sustentáveis e digitais.
Novo Nordisk,Missão 2: Complexo econômico e industrial da saúde resiliente.
Anglo American,"Missão 5: Bioeconomia, descarbonização e transição energética."
DressBox,Missão 4: Transformação digital da indústria.
GRANTO CORRETORA DE SEGUROS LTDA,Missão 4: Transformação digital da indústria.
Environment,Missão 3 e 5: Infraestrutura e Bioeconomia.
Empresta Soluções e Negócios Ltda,Missão 4: Transformação digital da indústria.
Wabtec Brasil Fabricação e Manutenção de Equipamentos LTDA,Missão 3 e 5: Infraestrutura e Descarbonização.
GreenCon Tech,Missão 4: Transformação digital da indústria.
Invision Medical Devices,Missão 2: Complexo econômico e industrial da saúde resiliente.
LITELEDS TECNOLOGIA LTDA,Missão 3 e 5: Infraestrutura e Transição Energética.
Gran Moar,Missão 1 e 5: Agro e Bioeconomia.
C & R AGRO AMBIENTAL CONSULTORIA LTDA - ME,Missão 1 e 5: Agro e Bioeconomia.
Haskell Cosméticos,Missão 2: Complexo econômico e industrial da saúde resiliente.
Imersão Virtual,Missão 3 e 4: Infraestrutura e Digital.
Grupo Piramide,"Missão 3: Infraestrutura, saneamento, moradia e mobilidade sustentáveis."
Brasil Stream - Streaming Profissional,Missão 4: Transformação digital da indústria.
Safetest Diagnposticos,Missão 2: Complexo econômico e industrial da saúde resiliente.
3T Solar,"Missão 5: Bioeconomia, descarbonização e transição energética."
LOGISTICA SOLUÇÕES DIGITAIS LTDA,Missão 4: Transformação digital da indústria.
QIPixel,Missão 1: Cadeias agroindustriais sustentáveis e digitais.
Projeto Guiq,Missão 4: Transformação digital da indústria.
MEDYES,Missão 2 e 4: Saúde e Digital.
Bigdim,Missão 4: Transformação digital da indústria.
Manuel VAIoT,Missão 2: Complexo econômico e industrial da saúde resiliente.
Angular Money Group,Missão 2 e 4: Saúde e Digital.
Seguro do Trabalhador,Missão 4: Transformação digital da indústria.
CIGTA- Centro de Inteligência LTDA.,"Missão 1, 4 e 5: Agro, Digital e Bioeconomia."
Designers do Futuro,Missão 1 e 4: Agro e Digital.
Enacom,Missão 4: Transformação digital da indústria.
FW&HW Sistemas,Missão 3 e 4: Infraestrutura e Digital.
Liens,Missão 2 e 3: Saúde e Infraestrutura.
Sidequest,Missão 4: Transformação digital da indústria.
Minas RFID,Missão 4: Transformação digital da indústria.
CHANGES ECONOMIA CIRCULAR,"Missão 5: Bioeconomia, descarbonização e transição energética."
Atther Consultoria,Missão 4: Transformação digital da indústria.
Imaginie,Missão 4: Transformação digital da indústria.
Host One,Missão 4: Transformação digital da indústria.
FacilControle,Missão 4: Transformação digital da indústria.
ChatPay,Missão 4: Transformação digital da indústria.
BlueBag Marketplace,Missão 4: Transformação digital da indústria.
eSolvere,Missão 4: Transformação digital da indústria.
Orion Sistemas Ltda,Missão 4: Transformação digital da indústria.
Promoburn - Promoções e Descontos,Missão 4: Transformação digital da indústria.
EcoCash Gestão e Soluções Ambientais,Missão 3 e 5: Infraestrutura e Bioeconomia.
ClientePrivado Tecnologia Ltda,"Missão 3: Infraestrutura, saneamento, moradia e mobilidade sustentáveis."
3geolink,Missão 1: Cadeias agroindustriais sustentáveis e digitais.
2Rhino,Missão 4: Transformação digital da indústria.
AUTHOSP,Missão 2: Complexo econômico e industrial da saúde resiliente.
Fluxo,Missão 4: Transformação digital da indústria.
M 3 Lending Assessoria empresarial LTDA,Missão 4: Transformação digital da indústria.
Cedro Technologies,Missão 4: Transformação digital da indústria.
NGC BRASIL LTDA - COMTAC,Missão 4: Transformação digital da indústria.
Tangram Educação,Missão 4: Transformação digital da indústria.
Big Card,Missão 4: Transformação digital da indústria.
Doutorapp,Missão 2: Complexo econômico e industrial da saúde resiliente.
Aqua Tecnologia SA,Missão 4: Transformação digital da indústria.
FAMA Indústria Eletrônica LTDA,Missão 2: Complexo econômico e industrial da saúde resiliente.
Cfaz.net,Missão 2: Complexo econômico e industrial da saúde resiliente.
E-auditoria,Missão 4: Transformação digital da indústria.
Brasil Cloud - Nuvem Corporativa,Missão 4: Transformação digital da indústria.
Neuro Soluções Estrada Real LTDA,Missão 4: Transformação digital da indústria.
ICE Play Educação,Missão 4: Transformação digital da indústria.
LandLoja,Missão 4: Transformação digital da indústria.
DataScope,Missão 4: Transformação digital da indústria.
Kino Contabilidade Online,Missão 4: Transformação digital da indústria.
WorkGeo,"Missão 1, 3 e 4: Agro, Infraestrutura e Digital."
Indwise,Missão 4: Transformação digital da indústria.
Mídias Tecnologia e Consultoria Ltda,Missão 4: Transformação digital da indústria.
Scala,Missão 1 e 5: Agro e Bioeconomia.
EventtTable,Missão 4: Transformação digital da indústria.
Anamê,Não se enquadra diretamente.
MARCEL GONCALVES VIANA MARINS DE CAMARGOS CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Missão 2: Complexo econômico e industrial da saúde resiliente.
FORSEE,Missão 4: Transformação digital da indústria.
Picada de Goyáz,Missão 3 e 5: Infraestrutura e Bioeconomia.
SVA TECNOLOGIAS E SISTEMAS S/A,Missão 4 e 6: Digital e Defesa.
Guia de Permacultura,Missão 3 e 5: Infraestrutura e Bioeconomia.
PRONTUEI HEALTH SOFTWARE INOVA SIMPLES LTDA,Missão 2: Complexo econômico e industrial da saúde resiliente.
Prática Sistema Ltda,Missão 4: Transformação digital da indústria.
VUUPT,Missão 4: Transformação digital da indústria.
mais.im,Missão 4: Transformação digital da indústria.
Alldone Car Service,"Missão 3: Infraestrutura, saneamento, moradia e mobilidade sustentáveis."
Morada Propriedades LTDA.,"Missão 3: Infraestrutura, saneamento, moradia e mobilidade sustentáveis."
Uniclon Biotecnologia,Missão 1: Cadeias agroindustriais sustentáveis e digitais.
Wepod,Missão 4: Transformação digital da indústria.
Contransin Indústria e Comércio Ltda,Missão 3 e 4: Infraestrutura e Digital.
Cachaça Express,Missão 4: Transformação digital da indústria.
NOWIGO SERVICOS E COMERCIO LTDA.,Missão 3 e 4: Infraestrutura e Digital.
Educomunicação,Missão 4: Transformação digital da indústria.
ALLUAGRO,Missão 1: Cadeias agroindustriais sustentáveis e digitais.
E-ctare,Missão 1: Cadeias agroindustriais sustentáveis e digitais.
BlueTape Soluções Digitais,Missão 4: Transformação digital da indústria.
FUSION Tecnologia,Missão 4: Transformação digital da indústria.
Ene Soluções,Missão 4: Transformação digital da indústria.
Geral Geek,Missão 4: Transformação digital da indústria.
Falaê!,Missão 4: Transformação digital da indústria.
Ipass,Missão 4: Transformação digital da indústria.
Leads Digital,Missão 4: Transformação digital da indústria.
Zapt Tech,"Missão 2, 3 e 4: Saúde, Infraestrutura e Digital."
Harpia Harpyja Soluções Tecnológicas,Missão 4 e 6: Digital e Defesa.
Geoadmin,Missão 1: Cadeias agroindustriais sustentáveis e digitais.
E-sol Brasil,"Missão 5: Bioeconomia, descarbonização e transição energética."
TRENDPRIX INTELIGENCIA EM INVESTIMENTOS LTDA,Missão 4: Transformação digital da indústria.
"GENEAL GENETICA ANIMAL - ANALISE, PESQUISA E LABORATORIO S/A",Missão 1: Cadeias agroindustriais sustentáveis e digitais.
Casa Mineira Imóveis,"Missão 3: Infraestrutura, saneamento, moradia e mobilidade sustentáveis."
Caminhadas,Missão 2: Complexo econômico e industrial da saúde resiliente.
10Educ Educação Corporativa,Missão 4: Transformação digital da indústria.
Cresça Mais,Missão 4: Transformação digital da indústria.
Rentis Negocios Online,"Missão 5: Bioeconomia, descarbonização e transição energética."
Select Sistemas,Missão 4: Transformação digital da indústria.
Metha Energia,"Missão 5: Bioeconomia, descarbonização e transição energética."
"Se Candidate, Mulher!",Missão 4: Transformação digital da indústria.
Aquila,Missão 4: Transformação digital da indústria.
Fab.,Não se enquadra diretamente.
Educando Seu Bolso,Missão 4: Transformação digital da indústria.
NeST,Missão 4: Transformação digital da indústria.
SEASA - Serviço de Abastecimento Recíproco,Missão 1: Cadeias agroindustriais sustentáveis e digitais.
Hermes Pardini,Missão 2: Complexo econômico e industrial da saúde resiliente.
SENSE ELETRÔNICA LTDA.,Missão 4: Transformação digital da indústria.
XGO SOLUCOES,Missão 4: Transformação digital da indústria.
HUB VERSÃO HOLÍSTICA SAÚDE INTEGRATIVA,Missão 2: Complexo econômico e industrial da saúde resiliente.
Gooders,Missão 4: Transformação digital da indústria.
SHARP SOLUÇÕES DIGITAIS,Missão 4: Transformação digital da indústria.
TRISKLE TECNOLOGIA,Missão 4 e 6: Digital e Defesa.
Armário Compartilhado,Missão 4: Transformação digital da indústria.
Hometeka,Missão 4: Transformação digital da indústria.
MAFER Telecom,Missão 4: Transformação digital da indústria.
Rubyy Ltda.,Missão 2: Complexo econômico e industrial da saúde resiliente.
Licentia,"Missão 5: Bioeconomia, descarbonização e transição energética."
OPTIMUM,"Missão 1, 3 e 4: Agro, Infraestrutura e Digital."
Ventrix Indústria e Comércio Ltda,Missão 2: Complexo econômico e industrial da saúde resiliente.
Inflame Tecnologia,Missão 4: Transformação digital da indústria.
Compilart Tecnologia,Missão 4: Transformação digital da indústria.
Freelaw,Missão 4: Transformação digital da indústria.
M&M Soluções,"Missão 2, 3 e 4: Saúde, Infraestrutura e Digital."
Allugator,Missão 4: Transformação digital da indústria.
GF Tech Business,Missão 3 e 4: Infraestrutura e Digital.
Sii Smart,"Missão 3, 4 e 5: Infraestrutura, Digital e Transição Energética."
Acerti Negociação,Missão 4: Transformação digital da indústria.
Exsto Tecnologia,Missão 4: Transformação digital da indústria.
SISTER TECNOLOGIA E INOVAÇÃO LTDA,"Missão 3: Infraestrutura, saneamento, moradia e mobilidade sustentáveis."
Quiz Class,Missão 4: Transformação digital da indústria.
Tecnologia de Saúde Aplicativo Q21 Ltda,Missão 2: Complexo econômico e industrial da saúde resiliente.
ALeph,"Missão 5: Bioeconomia, descarbonização e transição energética."
Inteli - Serviços de Inteligência,"Missão 1, 4 e 5: Agro, Digital e Transição Energética."
GUIA CIVIL,"Missão 3: Infraestrutura, saneamento, moradia e mobilidade sustentáveis."
ISF Crédito Orientado,Missão 4: Transformação digital da indústria.
AGTECHNOLOGIES PRODUTOS ELETRONICOS LTDA,Missão 4: Transformação digital da indústria.
3D Virtual Care,Missão 2: Complexo econômico e industrial da saúde resiliente.
ByeBnk,Missão 4: Transformação digital da indústria.
PYPIV,Missão 3 e 5: Infraestrutura e Bioeconomia.
Mediar Solutions,Missão 4: Transformação digital da indústria.
