Nome da Organização,M1 - Agro,M2 - Saúde,M3 - Mobilidade,M4 - Digital,M5 - Bioeconomia,M6 - Defesa
Casa Beta,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Carona - Delas para Elas,❌ Não se alinha,❌ Não se alinha,✅ Alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha
Cancelou.com,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Cada Semana um Bar GV,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Cachaçaria Nacional,✅ Alinha,❌ Não se alinha,❌ Não se alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha
Cachaça Express,✅ Alinha,❌ Não se alinha,❌ Não se alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha
Bicha da Justiça,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
AZAPFY,❌ Não se alinha,❌ Não se alinha,✅ Alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha
Armário Compartilhado,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,✅ Alinha,❌ Não se alinha
Aquila,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha
123Milhas,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Neft,❌ Não se alinha,✅ Alinha,❌ Não se alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha
TEC PECAS,✅ Alinha,❌ Não se alinha,✅ Alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha
Jolifox School,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha
AYUB VOGAS (PAZU),❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Granto Seguros,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha
Trokaí Tecnologia,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,✅ Alinha,✅ Alinha,❌ Não se alinha
NetNúcleo Soluções,✅ Alinha,✅ Alinha,❌ Não se alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha
JFNA Consultoria,✅ Alinha,❌ Não se alinha,✅ Alinha,✅ Alinha,✅ Alinha,❌ Não se alinha
BePet,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Plataforma Alvo,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Alldone Car Service,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Long Stay Suites,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
AVULTA,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Conveniar,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha
