nome_organizacao,M1_Agro,M2_Saude,M3_Infra_Mobilidade,M4_Transformacao_Digital,M5_Bioeconomia_Energia,M6_Defesa_Soberania,descricao_organizacao,segmento_atuacao,tecnologias_disruptivas,fase_negocio
Addhere,0,1,0,1,0,0,"A ADDHERE é composta por uma equipe multidisciplinar contendo médicos, PhDs, engenheiros, desenvolvedores, digital influencers, executivos, com objetivo de aprimorar o diagnóstico do Déficit de Atenção, com ou sem Hiperatividade, por meio de novas tecnologias (utiliza Inteligência Artificial e Blockchain para suporte ao diagnóstico de TDAH).",Saúde,"Blockchain, Machine Learning","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)"
Canguru Gravidez,0,1,0,0,0,0,"Um app completo para uma
gravidez tranquila.Um guia completo para a gravidez. Saiba tudo sobre consultas, exames e procedimentos do pré-natal. Identifique riscos precocemente.",Saúde,,3. Tração
DDMX,0,0,0,1,1,0,Tecnologia em análise de dados,"Energia, Gestão de negócios, Indústria 4.0, Logística, Tecnologia da informação","Big Data, IOT (Internet das Coisas)",Consolidado no mercado (Startup é um dos principais líderes no mercado em que atua e já construiu barreiras à entrada relevantes)
Aeogi,0,0,0,1,0,0,A Aeogi está construindo o futuro dos serviços financeiros corporativos. Ajudamos startups de todos tamanhos a conseguirem um cartão de crédito com limites altos para tocarem seus negócios.,Finanças,,1. Ideação
Licitei - “HAXN EMPREENDIMENTOS LTDA”.,0,0,0,1,0,0,"Agência desenvolvimento e licenciamento de programas de computador não-
customizáveis e de programas de computador sob encomenda.",Governo,"Big Data, IOT (Internet das Coisas), Machine Learning","Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)"
ifree,1,1,0,0,1,0,Estoque de demandas,"Alimentos, Governo, Pets, Saúde, Sustentabilidade",Nenhuma,Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico)
Labor Rural,1,0,0,0,0,0,Soluções Gerenciais para o campo.,Agronegócio,,
Engenharia do Cuidado,0,1,0,1,0,0,"A Engenharia do Cuidado (EC) é uma startup, sediada em Montes Claros/MG, que se dedica a promover jornadas de sucesso na transformação digital de empresas prestadoras ou gestoras de serviços de saúde para o melhor cuidado das pessoas e resultados dos nossos clientes.",Saúde,IOT (Internet das Coisas),"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)"
4intelligence,1,0,1,1,0,0,"No universo organizacional, seja privado, governamental ou terceiro setor, 99% das empresas ou instituições, para não falar 100%, dependem da construção de algum tipo de hipótese sobre o futuro para tomada de decisão crítica dos seus negócios ou programas, como por exemplo, as indústrias dos mais variados segmentos precisam decidir antecipadamente quanto produzir e quanto comprar de insumos para assim atender o mercado com otimização de caixa e aumento de receitas, redes de varejo precisam construir premissas sobre a venda de seus produtos na gôndola para evitar uma ruptura que consequentemente pode traduzir em perda de receita e até de market share, empresas do segmento financeiro precisam criar premissas econômicas para dividir a melhor alocação possível de seus ativos para assim proporcionar maior retorno aos seus clientes e acionistas, governo precisa garantir a melhor aplicação dos recursos públicos e oferecer o melhor benefício aos cidadãos como também atingir altos índices de eficência da gestão pública.
A 4intelligence é uma startup de ciência de decisão que desenvolve soluções para suportar tomada de decisões baseadas em análise de dados, através de algoritmos e inteligência artificial. Nossa tecnologia proprietária possibilita estruturação e customização de processos decisórios em larga escala, visando que as respostas mais precisas sejam entregues aos seus clientes.
Temos uma das mais modernas soluções de aprendizado de máquina automático para séries temporais e de classificação do mercado. Nossa plataforma, baseada em AutoML e dados alternativos (macroeconômicos, socioeconômicos, demográficos, climáticos, indicadores do segmentos da econimia, entre outro), garante que para qualquer série temporal ou organização de dados gere os melhores modelos matemáticos possíveis para sua previsão no horizonte de tempo desejado ou associação por suas características.
As projeções da 4intelligence que utilizam as ferramentas e algoritmos proprietários são premiadas pelo critério de acuracidade desde 2016 (Prêmio TOP 5 Banco Central, Podium Prisma, Ranking Projeções AE e Forecast Accuracy Awards) bem como temos realizado projetos de transformação digital com nossos clientes proporcionando inteligência e agilidade no processo de tomada de decisão com utilização de dados envolvendo Inteligência Artificial. A 4intelligence encontra-se em fase de escala com soluções validadas e contratos recorrentes com grandes clientes como BDMG, Bradesco, Banco Alfa, SICREDI, EPE, Coca-Cola, Hering, Volvo, VLi M Dias Branco, totalizando quase 40 clientes ativos.
Dentre as soluções destam-se:
1. Plataforma 4CastHub | Motor de Modelagem Automática – Plataforma desenvolvida para empoderar corporações de todos os segmentos para criarem seus próprios modelos Machine Learning para séries temporais ou de classificação que responde perguntas críticas de negócios. Tudo isso sem a necessidade de estruturação de grandes áreas de ciência e engenharia de dados.
2. Feature Store 4intelligence – Consiste em um repositório de dados econômicos, financeiros, regionais e climáticos, públicos e privados, e com curadoria própria. Este repositório conta tanto com dados históricos quanto com projeções econômicas criadas pelo time da 4intelligence para até 50 anos à frente, nos casos de variáveis comumente utilizadas em trabalhos de projeção de demanda e faturamento. O objetivo da Feature Store é municiar com possíveis variáveis explicativas os modelos que serão criados para prever cada fenômeno apresentado pela plataforma 4CastHub.
3. GeoCast – Plataforma de inteligência geoespacial, ajudando a responder perguntas críticas de negócios sobre previsão de vendas, otimização de preços e otimização geográfica de operações para abaertura de lojas ou estabelecimentos com análise de mercado, potencial de consumo e concorrência.
4. AgroCast – Plataforma de inteligência geoespacial, ajudando a responder perguntas críticas do agronegócio envolvendo monitoramento da safra (acompanhamento do ritmo de safra, plantio/colheita, ou das fases das culturas, produtividade (estimativa de quanto será produzido em cada localidade) e entendimento de como os fatores meteorológicos estão impactando as lavouras.
A 4intelligence desenvolve dashboards de projeções para empresas de diversos setores, entre eles bens de consumo e varejo, bens de capital, instituições financeiras, construção civil, agronegócio, commodities minerais e metálicas, entre outros.","Agronegócio, Alimentos, Cidades inteligentes, Gestão de negócios, Gestão de riscos, Logística, Seguros, Tecnologia da informação, Varejo","Big Data, Deep Learning, Machine Learning, Inteligência Artificial","Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)"
JFOX IT PARTNERS,0,0,0,1,0,0,CRM SALESFORCE,Tecnologia da Informação e Comunicação (TIC),,
Jurídico Já Jurídico Já Tecnologia e Serviços de INternet,0,0,0,1,0,0,Criamos ferramentas e desenvolvemos ideias para fazer o futuro da advocacia acontecer!,Direito,,
Soil Domains,1,0,0,0,1,0,"A Soil Domains é uma Biotech ESG. 

Desenvolvemos soluções biotecnológicas que ajudam produtores e organizações agrícolas e florestais a aumentarem sua lucratividade através do manejo ambientalmente e socialmente sustentável do solo. São duas soluções:

LiveSoil
Solução para aumentar a lucratividade da produção agrícola e florestal por meio da aplicação de técnica ambientalmente, socialmente e financeiramente sustentável de regeneração do solo.

StableSoil
Solução para apoiar a construção e manutenção de estradas não seladas mais duráveis, sustentáveis e baratas através de tecnologia de biocimentação desenvolvida para o bioma brasileiro.

Nosso principal ativo é a nossa equipe, formada por profissionais vocacionados para gerar um legado positivo para as próximas gerações. Cumprimos nossa vocação a partir de um alto nível de formação acadêmica e sólida experiência em projetos nacionais e internacionais.","Agronegócio, Ciências biológicas, Gestão de resíduos, Logística, Reciclagem, Sustentabilidade",Biocimento,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)"
OUVIDOR DIGITAL SERVIÇOS DE INFORMÁTICA LTDA,0,0,0,1,0,0,"Somos especialistas em Canal de Denúncias e Sistema de Ouvidoria, além de pioneiros no uso de automação conversacional (Inteligência Artificial e chatbot).

Atendemos mais de 700 empresas de todos os portes e segmentos em mais de 14 países.

Nossas soluções aumentam a transparência com os stakeholders, reduzem desvios financeiros, previnem e detectam riscos de integridade e compliance, melhoram o clima organizacional e potencializam os pilares ESG nas empresas.","Regulamentação e compliance, Tecnologia da informação",Machine Learning,"Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)"
Saga Medicao S/A,0,0,1,0,0,0,"A Saga Medição vem a 16 anos com o objetivo de desenvolver a região , com sede em Bocaiuva norte de Minas Gerais ,tem uma planta de 6000 m² fabricando medidores de agua com soluções inovadoras para o monitoramento do nosso bem precioso que é a agua . Conta com mais de 700 colaboradores contratos da região realizando assim investimentos produtivos que impulsionem o desenvolvimento econômico com a correspondente geração de emprego e renda.","Mineração e Metalurgia, Tecnologia da Informação e Comunicação (TIC), Saneamento",,
INFO EVOLUTION ME,0,0,0,1,0,0,"NÃO SÓ APENAS UM COMÉRCIO, E SIM UM CELEIRO DE OPORTUNIDADES!
Uma empresa do ramo da tecnologia educacional, apta ao mercado de cursos de informática e profissionalizantes. E crescente no seguimento de atendimento ao público, e também prestadora de serviços de escritório em geral.
A Info Evolution está há 05 anos no mercado de trabalho, desde o seu nascimento a empresa teve a necessidade de ser diferente das demais, e logo, agregou a ideia de trabalhar como vitrine, dando oportunidades para jovens, em si capacitar e profissionalizar para o tão concorrido mercado de trabalho.
No entanto, desde o primeiro ano é resgatados jovens que são inscrito nos cursos e que si destacam, para serem estagiários, assim, é dado o processo de formalização e capacitação. E dentre desses anos de vida da empresa já passaram vários jovens que hoje reside em outras cidades ou estados.
É um comércio que faz a diferença para o povo Cochanino!

Missão: Formar nossos educandos para conquistar posições de destaque no mercado profissional, comprometidos com o desenvolvimento da sociedade, promovendo a inclusão social, gerando a satisfação dos clientes, colaboradores e comunidade em geral.

Visão: Ser referência em educação profissional e desenvolvimento humano, ofertando cursos de qualidade através de uma metodologia inovadora e tecnologia avançada, atendendo aos clientes de forma única, compreendendo e respeitando as individualidades de cada um, desempenhando nossas atividades com compromisso, competência e ética.

Valores:
- Comprometimento com o aprendizado do educando;
- Orientar e qualificar cada educando dentro das suas necessidades e interesses;
- Ampliar as oportunidades dos jovens;
- Qualidade em todas as nossas ações;
- Seriedade e ética em nossas relações;
- Consolidar a imagem positiva da instituição junto à comunidade;
- Processo de melhoria contínua;
- Atuar com ética, transparência e humildade;
- Valorização e respeito ao próximo.","Publicidade, Educação, Tecnologia da informação",Nenhuma,"Tração (Início da consolidação e repetição de processos para áreas da EBT, como vendas, marketing, recursos humanos, sucesso do cliente etc)"
guardSI Cybersecurity,0,0,0,1,0,1,"A empresa tem foco em segurança da informação e, por conta da experiência em serviços de adequação das empresas na proteção de dados, conforme GDPR e LGPD, decidiu criar o produto próprio DefSpider, para ajudar as pequenas e médias empresas no processo de conformidade com a lei.",PrivacyTech,Nenhuma,"Operação (Fase em que a EBT atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)"
AGENDA CONSULTA,0,1,0,0,0,0,"O Agenda Consulta é uma plataforma de agendamento e pagamento de consultas exames que conecta médicos, dentistas, terapeutas e laboratórios a pacientes. Desta forma facilitamos o agendamento e pagamento de uma consulta ou exame sem sair de casa, 24 horas por dia e em qualquer lugar do mundo de forma rápida e prática.",Educação,,1. Ideação
Business4U,0,0,0,1,0,0,"Procuramos incentivar boas ideias e cultuar a inovação, auxiliando empresas que estão começando ou se reinventando. Seja na criação de sites, aplicativos ou softwares trabalharemos lado a lado com nossos parceiros em um relacionamento transparente e dinâmico, priorizando a inovação e garantindo a qualidade.",Gestão de negócios,,
Detechta Biotecnologia S.A.,0,1,0,0,0,0,"A Detechta Biotecnologia é uma empresa especializada em pesquisa, desenvolvimento e inovação. Fundada em 2016, a Detechta atua em todo o processo de PD&I de vacinas e produtos aplicáveis ao diagnóstico in vitro; desde a pesquisa e análise de proteínas recombinantes e demais insumos, passando pelo desenvolvimento, prototipagem, transferência da tecnologia de produção e controle, até a comercialização. Disponibiliza para o mercado reagentes para a produção de kits de diagnóstico in vitro com elevados níveis de acurácia.","Saúde, Biotecnologia",Expressão de proteínas recombinantes,"Operação (Fase em que a EBT atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)"
GTI PLUG,0,0,0,1,0,0,"GTI PLUG é uma Logtech criada para tornar a vida mais simples e produtiva para indústrias facilitando a sua relação na cadeia de suprimento. Muitas empresas não tem conhecimento para realizar controle nas atividades ligadas a armazenagem e movimentação de produtos. Executar bem ou mal é uma questão de sorte. Companhias de pequeno e médio porte não conseguem ter acesso a sistemas especialistas e tecnologia para cuidar do processo logístico e de armazenagem. É realmente complicado ser eficiente. 
Somos um software poderoso e acessível para gestão de armazém que resolve problemas de identificação, controle e expedição de produtos.",Logística,IOT (Internet das Coisas),"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)"
Siteware Soluções S/A,0,0,0,1,0,0,"A Siteware tem um software, o STRATWs One, que tem como objetivo otimizar o tempo gasto na tomada de decisão, engajar colaboradores, promover o aumento da produtividade e da governança na organização. O sistema transforma em processo a metodologia de gestão adotada pela empresa e amplia o ROI dos projetos de consultoria contratados. Tudo isso para garantir os melhores resultados às instituições. Levamos ordem e simplicidade a cenários complexos, nos quais a tomada de decisões é baseada em informações provenientes de diversas fontes, inclusive várias planilhas, o que aumenta o risco e diminui a confiabilidade das decisões.
Somos o software de execução da estratégia utilizado pelas maiores empresas do Brasil e no mundo. Atuamos em mais de 20 países e temos mais de 700 clientes.","Gestão de negócios, Tecnologia da informação",Machine Learning,Consolidado no mercado (EBT é um dos principais líderes no mercado em que atua e já construiu barreiras à entrada relevantes)
JOAO SCUDELER NETO (Nome Fantasia: Eleni Comércio e Serviço LTDA.),0,0,0,1,1,0,"Desenvolvimento e licenciamento de programas de computador customizáveis, atualmente produzindo/aperfeiçoando um sistema de monitoramento de usinas de energia elétrica com fontes renováveis.","Agronegócio, Construção, Energia, Gestão de negócios, Gestão de resíduos, Gestão de riscos, Tecnologia da informação","Deep Learning, IOT (Internet das Coisas), Machine Learning",Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico)
iPlanus,1,0,1,1,0,0,"Atua no planejamento e gestão de territórios (municípios, consórcios, bacias hidrográficas, propriedades urbanas e rurais, áreas de preservação e unidades de conservação) desenvolvendo e implementando diagnósticos, planos, programas, projetos de engenharia e sistemas de informação.","Agronegócio, Construção, Educação, Energia, Governo, Cidades inteligentes, Tecnologia da informação","Big Data, IOT (Internet das Coisas), Realidade aumentada, SSP, GIS e BIM","Tração (Início da consolidação e repetição de processos para áreas da EBT, como vendas, marketing, recursos humanos, sucesso do cliente etc)"
Magistech Sistemas Ltda,1,0,0,1,0,0,"O objetivo da Magistech é oferecer às indústrias do segmento lácteo e outras indústrias similares um ERP espécifico para o segmento, agilizando o acesso à informação para a tomada de decisões, primando pela excelência no atendimento.

Estamos em crescimento constante, sempre aumentando a nossa equipe interna, tendo já em nossa carteira, mais de 300 indústrias em todo o brasil, sendo a Magistech considerada referencia no setor lácteo.","Gestão de negócios, Tecnologia da informação",Nenhuma,Consolidado no mercado (EBT é um dos principais líderes no mercado em que atua e já construiu barreiras à entrada relevantes)
Pocket Clinic,0,1,0,0,0,0,"Somos o AirBnB da saúde. Uma plataforma que conecta proprietários de consultórios ou salas da saúde com períodos ociosos, a profissionais da saúde que querem alugar um espaço pagando somente pelo tempo de uso: por hora, por período ou dia. Já validamos a tese da startup no ano de 2023 e também conquistamos um investimento anjo smart da FHE Venture Builder também em 2023. Em 2024 abrimos a empresa, com novo contrato social e já foi iniciado o processo de registro de marca.",Saúde,Nenhuma,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)"
Neurobrinq,0,1,0,0,0,0,"Desenvolvemos, fabricamos e prestamos serviços para Clinias, instituições de ensino e afins que trabalham na estimulação de crianças com transtornos do neurodesenvolvimento. Aplicamos tecnologia iOT em nossos produtos e desenvolvemos softwares para profissionais atuarem de froma multidisciplinar.","Educação, Jogos","Impressão 3D, IOT (Internet das Coisas), Machine Learning","Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)"
ConectaDent,0,1,0,0,0,0,Com a ConectaDent você agiliza a contratação de dentistas e assim não perde nenhum paciente.,Saúde,Nenhuma,"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)"
MERCADOS ARTESANAIS CRAFT MARKET,0,0,0,1,0,0,"A MERCADOS ARTESANAIS CRAFT MARKET foi fundada em 2018 com o intuito de atender os amantes de produtos artesanais. Somos uma plataforma digital de compra, venda e divulgação de produtos artesanais brasileiros.
Existem, no Brasil, milhares de artesãos e produtores artesanais que se utilizam de técnicas as mais variadas, algumas delas seculares. Entretanto, as enormes dimensões do país podem representar um sério obstáculo à concretização de uma relação satisfatória entre oferta e demanda.
Apresentando uma solução para aproximar você da sua arte desejada, estaremos diminuindo distâncias, prezando sempre pela qualidade. Ao contribuir para aumentar a visibilidade dos produtos artesanais, estamos convictos de dar um importante passo para fortalecer o setor.
SEJAM MUITO BEM VINDOS A NOSSA PÁGINA!
Estamos aqui para atender VOCÊ, consumidor e VOCÊ, produtor artesanal.",Varejo,,
MercadoLead,0,0,0,1,0,0,O MercadoLead.com é sua plataforma para compra de leads qualificados ( indicações de clientes ). Ficou fácil encontrar o seu próximo cliente.,Publicidade,,Operação
"BEE Bio Ecommitted Evolution Serviços, Industria e Comercio Ltda",1,1,0,0,1,0,"A empresa tem por objetivo: Desenvolver tecnologias sustentáveis para aplicações na Industria, Agricultura, Pecuária, Medicina e para as mais diversas aplicações em parceria com o mercado. O BEEocida (detergente desincrustante saneante biodegradável e atóxico) já está em fase de testes para emissão de laudos para a Anvisa. O reator e processos de produção de etanol com resíduos da agro-indústria (palha de café, palha de arroz, etc.) já está construído e será testado. Um enxaguante bucal a base de própolis já está sendo negociado com potencial investidor.","Ciências biológicas, Energia, Saúde, Pets","Nanotecnologia, Biotecnologia, biomoléculas, bioprocessos","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)"
VINE SOLUÇÕES,1,0,0,0,0,0,"Atuamos no desenvolvimento de soluções que visam a automação e facilidade no dia a dia do produtor rural, além de maior controle e informações para a gestão.
Já temos uma solução madura e uma carteira de clientes tanto na pecuária quanto na agricultura utilizando nossos sistemas.","Agronegócio, Gestão de negócios",IOT (Internet das Coisas),"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)"
Cryptonita,0,0,0,1,0,0,Rede social para investidores de cripto moedas. Copie a estratégia de especialistas do mercado ganhe junto com eles.,Finanças,,
Genyo - Gestão Inteligente,0,0,0,1,0,0,O Genyo é um sistema de gestão de pessoas por controle de ponto eletrônico que tem a mobilidade como aliada tecnológica para empresas de todos os tamanhos.,Gestão de negócios,,
